State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
6,67,14,44201,1,38.650783,-121.506767,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.018875,0.03,11,28,, - ,Sacramento-Goldenland Ct.,"68 GOLDENLAND COURT, SACRAMENTO, CA 95834",California,Sacramento,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA",8/1/16
6,67,10,44201,1,38.558228,-121.492981,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.018083,0.028,11,26,, - ,Sacramento-1309 T Street,"1309 T ST., SACRAMENTO, CA. 95814",California,Sacramento,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA",8/4/16
6,77,3005,44201,1,37.682512,-121.443324,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.021792,0.028,9,26,, - ,Tracy-Airport,"5749 S. TRACY BLVD., TRACY",California,San Joaquin,Tracy,"Stockton-Lodi, CA",8/1/16
6,67,11,44201,1,38.302591,-121.420838,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.017083,0.027,11,25,, - ,Elk Grove-Bruceville," 12490 BRUCEVILLE RD, ELK GROVE, CA",California,Sacramento,Not in a city,"Sacramento--Roseville--Arden-Arcade, CA",8/5/16
6,67,2,44201,1,38.71209,-121.38109,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.020792,0.035,11,32,, - ,North Highlands-Blackfoot,"7823 BLACKFOOT WAY, NORTH HIGHLANDS",California,Sacramento,Not in a city,"Sacramento--Roseville--Arden-Arcade, CA",8/5/16
6,67,6,44201,1,38.613779,-121.368014,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.021792,0.032,10,30,, - ,Sacramento-Del Paso Manor,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,"Sacramento--Roseville--Arden-Arcade, CA",8/4/16
6,69,2,44201,1,36.844096,-121.362121,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.015083,0.022,10,20,, - ,Hollister,1979 Fairview Rd,California,San Benito,Hollister,"San Jose-Sunnyvale-Santa Clara, CA",8/2/16
6,61,2001,44201,1,38.889891,-121.307704,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.016833,0.03,12,28,, - ,Lincoln-L Street,"204 'L' ST., LINCOLN, CA. 95648",California,Placer,Lincoln,"Sacramento--Roseville--Arden-Arcade, CA",8/1/16
6,77,1002,44201,1,37.950741,-121.268523,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.019375,0.032,10,30,, - ,Stockton-Hazelton,"HAZELTON-HD, STOCKTON",California,San Joaquin,Stockton,"Stockton-Lodi, CA",8/1/16
6,61,6,44201,1,38.745726,-121.266312,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.024958,0.039,11,36,, - ,Roseville-N Sunrise Ave," 151 NO SUNRISE BLVD, ROSEVILLE, CA",California,Placer,Roseville,"Sacramento--Roseville--Arden-Arcade, CA",8/2/16
41,17,122,44201,1,44.021896,-121.260166,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.017792,0.031,10,29,, - ,Bend Deschutes County Road Department (BRD),Bend Deschutes County Road Department (BRD),Oregon,Deschutes,Bend,"Bend-Redmond, OR",8/4/16
6,67,5003,44201,1,38.494475,-121.211131,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.018833,0.029,11,27,, - ,Sloughhouse,"7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE",California,Sacramento,Not in a city,"Sacramento--Roseville--Arden-Arcade, CA",8/2/16
6,67,12,44201,1,38.683304,-121.164457,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.021792,0.035,12,32,, - ,Folsom-Natoma St.,"50 NATOMA STREET, FOLSOM",California,Sacramento,Folsom,"Sacramento--Roseville--Arden-Arcade, CA",8/3/16
